study,tag,result_path,excerpt_path,agent_verdict,agent_answer,llm_judge_verdict,your_grade,notes
study3,1985_B5__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r2/prompt.md,,,match,,
study3,2006_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r1/prompt.md,,,match,,
study3,1996_B2__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__b__r2/prompt.md,,,match,,
study3,1989_A2__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__forced__r0/prompt.md,,,match,,
study3,1991_A5__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__b__r0/prompt.md,,,match,,
study3,1993_A1__forced__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r2/prompt.md,,,match,,
study3,1993_A1__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__vizprimed__r0/prompt.md,,,non-statement,,
study3,1985_B5__vizprimed__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__vizprimed__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__vizprimed__r1/prompt.md,,,match,,
study3,2006_A1__forced__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r2/prompt.md,,,match,,
study3,1993_A1__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r0/prompt.md,,,match,,
study3,1996_B2__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__b__r0/prompt.md,,,match,,
study3,1989_A2__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__vizprimed__r2/prompt.md,,,match,,
study3,1996_B2__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__forced__r1/prompt.md,,,match,,
study3,2006_A1__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__b__r0/prompt.md,,,match,,
study3,1985_B5__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__forced__r1/prompt.md,,,match,,
study3,1993_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__forced__r1/prompt.md,,,match,,
study3,1989_A2__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1989_A2__b__r1/prompt.md,,,close,,
study3,2006_A1__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__vizprimed__r0/prompt.md,,,match,,
study3,1985_B5__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__vizprimed__r2/prompt.md,,,match,,
study3,1991_A5__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__b__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__b__r2/prompt.md,,,match,,
study3,1991_A5__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__forced__r1/prompt.md,,,match,,
study3,1993_A1__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__b__r1/prompt.md,,,match,,
study3,1996_B2__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__vizprimed__r2/prompt.md,,,non-statement,,
study3,1991_A5__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__vizprimed__r2/prompt.md,,,match,,
study3,2006_A1__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__b__r1/prompt.md,,,match,,
